"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","type","lon","lat"
"29","Ames","Iowa","Small","Bike",808,2.5,0.6,"IA","North Central","city",-93.6319131,42.0307812
"30","Anderson","Indiana","Small","Bike",96,0.4,0.2,"IN","North Central","city",-85.6802541,40.1053196
"31","Anderson","South Carolina","Small","Bike",10,0.1,0.2,"SC","South","city",-82.6501332,34.5034394
"32","Andover","Minnesota","Small","Bike",22,0.1,0.2,"MN","North Central","city",-93.2913405,45.2332984
"33","Ankeny","Iowa","Small","Bike",52,0.2,0.2,"IA","North Central","city",-93.6001278,41.7317884
"34","Annapolis","Maryland","Small","Bike",41,0.2,0.2,"MD","South","city",-76.4921829,38.9784453
"35","Anniston","Alabama","Small","Bike",12,0.1,0.2,"AL","South","city",-85.8316318,33.6598257
"36","Apache Junction","Arizona","Small","Bike",71,0.6,0.6,"AZ","West","city",-111.5495777,33.4150485
"37","Apex","North Carolina","Small","Bike",0,0,0.2,"NC","South","town",-78.8502856,35.732652
"38","Apopka","Florida","Small","Bike",79,0.4,0.4,"FL","South","city",-81.5322149,28.6934076
"39","Apple Valley","Minnesota","Small","Bike",79,0.3,0.2,"MN","North Central","city",-93.21772,44.7319094
"40","Apple Valley","California","Small","Bike",21,0.1,0.1,"CA","West","town",-117.1858759,34.5008311
"41","Appleton","Wisconsin","Small","Bike",399,1.1,0.4,"WI","North Central","city",-88.4153847,44.2619309
"42","Arcadia","California","Small","Bike",90,0.4,0.2,"CA","West","city",-118.0353449,34.1397292
"43","Ardmore","Oklahoma","Small","Bike",19,0.2,0.3,"OK","South","city",-97.1436254,34.1742611
"44","Arlington Heights","Illinois","Small","Bike",154,0.4,0.2,"IL","North Central","village",-87.9806265,42.0883603
"45","Arnold","Missouri","Small","Bike",0,0,0.3,"MO","North Central","city",-90.3776187,38.4328317
"46","Arvin","California","Small","Bike",0,0,0.6,"CA","West","city",-118.833105,35.2017986
"47","Asheboro","North Carolina","Small","Bike",10,0.1,0.2,"NC","South","city",-79.8136446,35.7079146
"48","Asheville","North Carolina","Small","Bike",428,1.1,0.3,"NC","South","city",-82.5514869,35.5950581
"49","Ashland","Kentucky","Small","Bike",0,0,0.4,"KY","South","city",-82.6379387,38.4784144
"50","Ashland","Ohio","Small","Bike",49,0.6,0.4,"OH","North Central","city",-82.3182178,40.8686675
"51","Ashland","Oregon","Small","Bike",560,6.2,1.9,"OR","West","city",-122.7094767,42.1945758
"52","Atascadero","California","Small","Bike",58,0.4,0.4,"CA","West","city",-120.6707255,35.4894169
"53","Athens","Alabama","Small","Bike",0,0,0.4,"AL","South","city",-86.9716741,34.8028661
"54","Athens","Ohio","Small","Bike",208,2.2,0.9,"OH","North Central","city",-82.1012554,39.3292396
"55","Atlantic City","New Jersey","Small","Bike",166,1.1,0.6,"NJ","Northeast","city",-74.4229266,39.3642834
"56","Attleboro","Massachusetts","Small","Bike",39,0.2,0.2,"MA","Northeast","city",-71.2856082,41.9445441
"57","Atwater","California","Small","Bike",18,0.2,0.2,"CA","West","city",-120.609084,37.3477174
"58","Auburn","Alabama","Small","Bike",475,2,0.5,"AL","South","city",-85.4807825,32.6098566
"59","Auburn","Maine","Small","Bike",57,0.5,0.5,"ME","Northeast","city",-70.2311655,44.0978509
"60","Auburn","New York","Small","Bike",54,0.4,0.4,"NY","Northeast","city",-76.5660529,42.9317335
"61","Auburn","Washington","Small","Bike",97,0.3,0.2,"WA","West","city",-122.2284532,47.3073228
"62","Auburn Hills","Michigan","Small","Bike",43,0.4,0.4,"MI","North Central","city",-83.2341028,42.6875323
"63","Austin","Minnesota","Small","Bike",100,0.9,0.7,"MN","North Central","city",-92.9746367,43.6666296
"64","Aventura","Florida","Small","Bike",0,0,0.3,"FL","South","city",-80.1392121,25.9564812
"65","Avon","Ohio","Small","Bike",14,0.2,0.2,"OH","North Central","city",-82.0354225,41.4517093
"66","Avon Lake","Ohio","Small","Bike",78,0.7,0.7,"OH","North Central","city",-82.0282001,41.5053178
"67","Avondale","Arizona","Small","Bike",42,0.1,0.1,"AZ","West","city",-112.3496021,33.4355977
"68","Azusa","California","Small","Bike",154,0.7,0.4,"CA","West","city",-117.9075627,34.1336186
"69","Bainbridge Island","Washington","Small","Bike",194,1.9,0.9,"WA","West","city",-122.5210007,47.6248791
"70","Balch Springs","Texas","Small","Bike",0,0,0.4,"TX","South","city",-96.6227714,32.7287413
"71","Baldwin Park","California","Small","Bike",294,1,0.5,"CA","West","city",-117.9608978,34.0852868
"72","Ballwin","Missouri","Small","Bike",0,0,0.2,"MO","North Central","city",-90.5462339,38.5950532
"73","Bangor","Maine","Small","Bike",50,0.3,0.3,"ME","Northeast","city",-68.7712257,44.8016128
"74","Banning","California","Small","Bike",47,0.5,0.5,"CA","West","city",-116.8764103,33.9255713
"75","Barberton","Ohio","Small","Bike",8,0.1,0.1,"OH","North Central","city",-81.6051221,41.012833
"76","Barnstable Town","Massachusetts","Small","Bike",49,0.2,0.2,"MA","Northeast","city",-70.3002024,41.7003208
"77","Barstow","California","Small","Bike",29,0.3,0.5,"CA","West","city",-117.0172826,34.8957957
"78","Bartlesville","Oklahoma","Small","Bike",115,0.7,0.5,"OK","South","city",-95.9808179,36.7473114
"79","Bartlett","Tennessee","Small","Bike",36,0.1,0.2,"TN","South","city",-89.8739753,35.2045328
"80","Bartlett","Illinois","Small","Bike",28,0.1,0.1,"IL","North Central","village",-88.1856301,41.9950276
"81","Batavia","Illinois","Small","Bike",47,0.4,0.4,"IL","North Central","city",-88.3125738,41.8500284
"82","Battle Creek","Michigan","Small","Bike",61,0.3,0.2,"MI","North Central","city",-85.1797142,42.3211522
"83","Bay City","Michigan","Small","Bike",158,1.1,0.6,"MI","North Central","city",-83.8888647,43.5944677
"84","Bayonne","New Jersey","Small","Bike",71,0.2,0.2,"NJ","Northeast","city",-74.1143091,40.6687141
"85","Baytown","Texas","Small","Bike",83,0.3,0.3,"TX","South","city",-94.9774274,29.7355047
"86","Beaumont","California","Small","Bike",36,0.2,0.2,"CA","West","city",-116.977248,33.9294606
"87","Beavercreek","Ohio","Small","Bike",116,0.5,0.3,"OH","North Central","city",-84.0632685,39.7092262
"88","Beaverton","Oregon","Small","Bike",564,1.3,0.4,"OR","West","city",-122.8013771,45.4888761
"89","Bedford","Texas","Small","Bike",54,0.2,0.1,"TX","South","city",-97.1430671,32.844017
"90","Bell","California","Small","Bike",234,1.8,0.9,"CA","West","city",-118.1870156,33.9775142
"91","Bell Gardens","California","Small","Bike",173,1.1,0.5,"CA","West","city",-118.1514588,33.9652918
"92","Bella Vista","Arkansas","Small","Bike",0,0,0.3,"AR","South","town",-94.2732642,36.481464
"93","Belleville","Illinois","Small","Bike",100,0.5,0.3,"IL","North Central","city",-89.9839935,38.5200504
"94","Bellevue","Nebraska","Small","Bike",31,0.1,0.1,"NE","North Central","city",-95.9145568,41.1543623
"95","Bellflower","California","Small","Bike",177,0.6,0.3,"CA","West","city",-118.1170117,33.8816818
"96","Bellingham","Washington","Small","Bike",1578,4,1,"WA","West","city",-122.4786854,48.7519112
"97","Belmont","California","Small","Bike",42,0.3,0.3,"CA","West","city",-122.2758008,37.5202145
"98","Beloit","Wisconsin","Small","Bike",86,0.6,0.4,"WI","North Central","city",-89.0317765,42.5083482
"99","Belton","Missouri","Small","Bike",32,0.3,0.3,"MO","North Central","city",-94.5318982,38.8119527
"100","Belvidere","Illinois","Small","Bike",40,0.4,0.6,"IL","North Central","city",-88.8442674,42.2639098
"101","Benbrook","Texas","Small","Bike",42,0.4,0.4,"TX","South","city",-97.4605759,32.673188
"102","Bend","Oregon","Small","Bike",844,2.3,0.7,"OR","West","city",-121.3153096,44.0581728
"103","Benicia","California","Small","Bike",90,0.7,0.6,"CA","West","city",-122.1585777,38.049365
"104","Benton","Arkansas","Small","Bike",0,0,0.2,"AR","South","city",-92.586828,34.5645371
"105","Bentonville","Arkansas","Small","Bike",24,0.1,0.2,"AR","South","city",-94.2088172,36.3728538
"106","Bergenfield","New Jersey","Small","Bike",39,0.3,0.2,"NJ","Northeast","borough",-73.9973608,40.9275987
"107","Berwyn","Illinois","Small","Bike",45,0.2,0.2,"IL","North Central","city",-87.7936685,41.8505874
"108","Bessemer","Alabama","Small","Bike",0,0,0.3,"AL","South","city",-86.954437,33.4017766
"109","Bethel Park","Pennsylvania","Small","Bike",7,0,0.1,"PA","Northeast","municipality",-80.0394977,40.3275697
"110","Bethlehem","Pennsylvania","Small","Bike",84,0.3,0.1,"PA","Northeast","city",-75.3704579,40.6259316
"111","Bettendorf","Iowa","Small","Bike",34,0.2,0.2,"IA","North Central","city",-90.5072573,41.5262641
"112","Beverly","Massachusetts","Small","Bike",57,0.3,0.2,"MA","Northeast","city",-70.880049,42.5584283
"113","Beverly Hills","California","Small","Bike",87,0.5,0.5,"CA","West","city",-118.4003563,34.0736204
"114","Biddeford","Maine","Small","Bike",88,0.8,0.6,"ME","Northeast","city",-70.4533844,43.4925843
"115","Big Spring","Texas","Small","Bike",33,0.4,0.4,"TX","South","city",-101.4787355,32.2503979
"116","Biloxi","Mississippi","Small","Bike",88,0.4,0.3,"MS","South","city",-88.8853078,30.3960318
"117","Binghamton","New York","Small","Bike",208,1.1,0.6,"NY","Northeast","city",-75.9179738,42.0986867
"118","Birmingham","Michigan","Small","Bike",21,0.2,0.3,"MI","North Central","city",-83.2113192,42.5467012
"119","Bismarck","North Dakota","Small","Bike",271,0.8,0.3,"ND","North Central","city",-100.7837392,46.8083268
"120","Bixby","Oklahoma","Small","Bike",22,0.2,0.3,"OK","South","city",-95.8833235,35.9420431
"121","Blacksburg","Virginia","Small","Bike",531,3.1,1,"VA","South","town",-80.4139393,37.2295733
"122","Blaine","Minnesota","Small","Bike",30,0.1,0.1,"MN","North Central","city",-93.2349489,45.1607987
"123","Bloomingdale","Illinois","Small","Bike",0,0,0.3,"IL","North Central","village",-88.0809036,41.9575285
"124","Bloomington","Illinois","Small","Bike",205,0.5,0.2,"IL","North Central","city",-88.9936873,40.4842027
"125","Bloomington","Indiana","Small","Bike",1260,3.6,0.7,"IN","North Central","city",-86.5263857,39.165325
"126","Bloomington","Minnesota","Small","Bike",239,0.6,0.2,"MN","North Central","city",-93.2982799,44.840798
"127","Blue Island","Illinois","Small","Bike",12,0.1,0.2,"IL","North Central","city",-87.6800486,41.6572562
"128","Blue Springs","Missouri","Small","Bike",52,0.2,0.3,"MO","North Central","city",-94.2816148,39.0169509
"129","Blythe","California","Small","Bike",12,0.2,0.3,"CA","West","city",-114.5882607,33.6177725
"130","Boca Raton","Florida","Small","Bike",438,1.1,0.5,"FL","South","city",-80.1289321,26.3683064
"131","Bolingbrook","Illinois","Small","Bike",27,0.1,0.1,"IL","North Central","village",-88.0683955,41.6986416
"132","Bonita Springs","Florida","Small","Bike",150,0.9,0.6,"FL","South","city",-81.7786972,26.339806
"133","Bossier City","Louisiana","Small","Bike",101,0.3,0.2,"LA","South","city",-93.7321228,32.5159852
"134","Bothell","Washington","Small","Bike",204,1.2,0.7,"WA","West","city",-122.2054452,47.760111
"135","Bountiful","Utah","Small","Bike",44,0.2,0.2,"UT","West","city",-111.880771,40.8893895
"136","Bowie","Maryland","Small","Bike",25,0.1,0.1,"MD","South","city",-76.7791365,39.0067768
"137","Bowling Green","Kentucky","Small","Bike",127,0.5,0.3,"KY","South","city",-86.4808043,36.9685219
"138","Bowling Green","Ohio","Small","Bike",226,1.5,0.7,"OH","North Central","city",-83.6513229,41.3747744
"139","Boynton Beach","Florida","Small","Bike",187,0.6,0.3,"FL","South","city",-80.0905465,26.5317866
"140","Bozeman","Montana","Small","Bike",1185,5.8,1.2,"MT","West","city",-111.0429339,45.6769979
"141","Bradenton","Florida","Small","Bike",151,0.7,0.5,"FL","South","city",-82.5748194,27.4989278
"142","Braintree Town","Massachusetts","Small","Bike",29,0.2,0.2,"MA","Northeast","city",-71.0040013,42.2079017
"143","Brandon","Mississippi","Small","Bike",10,0.1,0.1,"MS","South","city",-90.001384,32.2788733
"144","Brawley","California","Small","Bike",22,0.3,0.4,"CA","West","city",-115.530267,32.9786566
"145","Brea","California","Small","Bike",73,0.4,0.3,"CA","West","city",-117.9002918,33.916475
"146","Bremerton","Washington","Small","Bike",221,1.2,0.6,"WA","West","city",-122.6269768,47.5650067
"147","Brentwood","California","Small","Bike",11,0.1,0.1,"CA","West","city",-121.6957863,37.931868
"148","Brentwood","Tennessee","Small","Bike",10,0.1,0.1,"TN","South","city",-86.7827772,36.0331164
"149","Bridgeton","New Jersey","Small","Bike",3,0,0.1,"NJ","Northeast","city",-75.2340768,39.427337
"150","Brighton","Colorado","Small","Bike",34,0.2,0.2,"CO","West","city",-104.8205283,39.9852617
"151","Bristol","Connecticut","Small","Bike",36,0.1,0.1,"CT","Northeast","city",-72.9492703,41.6717648
"152","Bristol","Tennessee","Small","Bike",15,0.1,0.2,"TN","South","city",-82.1887444,36.5951059
"153","Brockton","Massachusetts","Small","Bike",98,0.2,0.2,"MA","Northeast","city",-71.0183787,42.0834335
"154","Brookfield","Wisconsin","Small","Bike",33,0.2,0.2,"WI","North Central","city",-88.1064787,43.0605671
"155","Brookings","South Dakota","Small","Bike",454,3.7,1.7,"SD","North Central","city",-96.7983877,44.3113573
"156","Brooklyn Center","Minnesota","Small","Bike",147,1.1,0.7,"MN","North Central","city",-93.3327283,45.076076
"157","Brooklyn Park","Minnesota","Small","Bike",53,0.1,0.1,"MN","North Central","city",-93.3563405,45.0941315
"158","Broomfield","Colorado","Small","Bike",218,0.7,0.4,"CO","West","city",-105.0866504,39.9205411
"159","Brownsburg","Indiana","Small","Bike",0,0,0.3,"IN","North Central","town",-86.3977735,39.8433769
"160","Brunswick","Ohio","Small","Bike",12,0.1,0.1,"OH","North Central","city",-81.8418006,41.2381096
"161","Bryan","Texas","Small","Bike",454,1.3,0.6,"TX","South","city",-96.3699632,30.6743643
"162","Buckeye","Arizona","Small","Bike",27,0.1,0.2,"AZ","West","town",-112.5837766,33.3703197
"163","Buena Park","California","Small","Bike",453,1.3,0.7,"CA","West","city",-117.9981387,33.8674044
"164","Buffalo Grove","Illinois","Small","Bike",114,0.5,0.3,"IL","North Central","village",-87.9631308,42.1662831
"165","Bullhead City","Arizona","Small","Bike",0,0,0.3,"AZ","West","city",-114.5285981,35.1359386
"166","Burbank","Illinois","Small","Bike",59,0.5,0.4,"IL","North Central","city",-87.760738,41.7467619
"167","Burien","Washington","Small","Bike",51,0.3,0.2,"WA","West","city",-122.3405305,47.4668384
"168","Burleson","Texas","Small","Bike",73,0.4,0.4,"TX","South","city",-97.3208492,32.5420821
"169","Burlingame","California","Small","Bike",126,0.9,0.6,"CA","West","city",-122.34809,37.5778696
"170","Burlington","Iowa","Small","Bike",98,0.9,0.9,"IA","North Central","city",-91.1128901,40.8076529
"171","Burlington","North Carolina","Small","Bike",0,0,0.2,"NC","South","city",-79.4377991,36.0956918
"172","Burlington","Vermont","Small","Bike",1101,5,1.2,"VT","Northeast","city",-73.212072,44.4758825
"173","Burnsville","Minnesota","Small","Bike",127,0.4,0.3,"MN","North Central","city",-93.2777226,44.7677424
"174","Burton","Michigan","Small","Bike",14,0.1,0.2,"MI","North Central","city",-83.6163423,42.9994718
"175","Butte-Silver Bow ()","Montana","Small","Bike",42,0.3,0.4,"MT","West","(balance)",-112.5347775,46.0038232
"176","Cabot","Arkansas","Small","Bike",0,0,0.3,"AR","South","city",-92.0165336,34.974532
"177","Calabasas","California","Small","Bike",0,0,0.4,"CA","West","city",-118.6614809,34.1367208
"178","Caldwell","Idaho","Small","Bike",52,0.3,0.3,"ID","West","city",-116.6873596,43.6629384
"179","Caledonia","Wisconsin","Small","Bike",26,0.2,0.2,"WI","North Central","village",-87.924248,42.8077958
"180","Calexico","California","Small","Bike",60,0.5,0.6,"CA","West","city",-115.4988834,32.6789476
"181","Calumet City","Illinois","Small","Bike",74,0.5,0.6,"IL","North Central","city",-87.5294871,41.6155909
"182","Camarillo","California","Small","Bike",156,0.5,0.3,"CA","West","city",-119.0376023,34.2163937
"183","Camas","Washington","Small","Bike",64,0.8,0.5,"WA","West","city",-122.402442,45.5867128
"184","Camden","New Jersey","Small","Bike",84,0.4,0.4,"NJ","Northeast","city",-75.1196199,39.9259463
"185","Campbell","California","Small","Bike",432,2,1,"CA","West","city",-121.9499568,37.2871651
"186","Canton","Georgia","Small","Bike",0,0,0.4,"GA","South","city",-84.4907621,34.2367621
"187","Canton","Ohio","Small","Bike",58,0.2,0.1,"OH","North Central","city",-81.378447,40.7989473
"188","Cape Girardeau","Missouri","Small","Bike",128,0.7,0.8,"MO","North Central","city",-89.5181476,37.3058839
"189","Carbondale","Illinois","Small","Bike",381,3.6,1.2,"IL","North Central","city",-89.2167501,37.7272727
"190","Carlsbad","New Mexico","Small","Bike",0,0,0.3,"NM","West","city",-104.2288375,32.4206736
"191","Carmel","Indiana","Small","Bike",137,0.3,0.2,"IN","North Central","city",-86.1180435,39.978371
"192","Carol Stream","Illinois","Small","Bike",66,0.3,0.4,"IL","North Central","village",-88.1347927,41.9125286
"193","Carpentersville","Illinois","Small","Bike",7,0,0.1,"IL","North Central","village",-88.2578582,42.1211364
"194","Carrboro","North Carolina","Small","Bike",605,5.3,2.1,"NC","South","town",-79.0752895,35.9101438
"195","Carrollton","Georgia","Small","Bike",43,0.5,0.4,"GA","South","city",-85.0766113,33.5801103
"196","Carson","California","Small","Bike",85,0.2,0.2,"CA","West","city",-118.281693,33.8316745
"197","Carson City","Nevada","Small","Bike",261,1.1,0.6,"NV","West","city",-119.7674034,39.1637984
"198","Carteret","New Jersey","Small","Bike",61,0.6,0.6,"NJ","Northeast","borough",-74.2282005,40.5773266
"199","Casa Grande","Arizona","Small","Bike",48,0.3,0.2,"AZ","West","city",-111.7733902,32.9110027
"200","Casper","Wyoming","Small","Bike",195,0.7,0.3,"WY","West","city",-106.3251749,42.8500769
"201","Casselberry","Florida","Small","Bike",72,0.6,0.5,"FL","South","city",-81.3278455,28.677775
"202","Castle Rock","Colorado","Small","Bike",18,0.1,0.1,"CO","West","town",-104.8560902,39.3722121
"203","Cathedral City","California","Small","Bike",50,0.2,0.2,"CA","West","city",-116.4668036,33.7805388
"204","Cedar City","Utah","Small","Bike",117,1,0.5,"UT","West","city",-113.0618931,37.6774769
"205","Cedar Falls","Iowa","Small","Bike",146,0.7,0.4,"IA","North Central","city",-92.4453161,42.5348993
"206","Cedar Hill","Texas","Small","Bike",19,0.1,0.1,"TX","South","city",-96.9561152,32.5884689
"207","Cedar Park","Texas","Small","Bike",42,0.2,0.2,"TX","South","city",-97.8202888,30.505198
"208","Centerville","Ohio","Small","Bike",3,0,4.1,"OH","North Central","city",-84.1593818,39.6283928
"209","Central","Louisiana","Small","Bike",0,0,0.3,"LA","South","city",-91.0368766,30.554281
"210","Ceres","California","Small","Bike",78,0.5,0.6,"CA","West","city",-120.9577098,37.5949316
"211","Cerritos","California","Small","Bike",35,0.2,0.2,"CA","West","city",-118.0647871,33.8583483
"212","Chambersburg","Pennsylvania","Small","Bike",28,0.3,0.4,"PA","Northeast","borough",-77.6611022,39.9375911
"213","Champaign","Illinois","Small","Bike",1075,2.7,0.6,"IL","North Central","city",-88.2433829,40.1164204
"214","Champlin","Minnesota","Small","Bike",52,0.4,0.3,"MN","North Central","city",-93.3974537,45.1888539
"215","Chanhassen","Minnesota","Small","Bike",35,0.3,0.4,"MN","North Central","city",-93.5323103,44.8619645
"216","Chapel Hill","North Carolina","Small","Bike",583,2.2,0.5,"NC","South","town",-79.0558445,35.9131996
"217","Charleston","Illinois","Small","Bike",110,1.1,0.7,"IL","North Central","city",-88.1761521,39.4961458
"218","Charleston","West Virginia","Small","Bike",49,0.2,0.1,"WV","South","city",-81.6326234,38.3498195
"219","Charlottesville","Virginia","Small","Bike",753,3.7,0.9,"VA","South","city",-78.4766781,38.0293059
"220","Chaska","Minnesota","Small","Bike",24,0.2,0.2,"MN","North Central","city",-93.6018389,44.7893446
"221","Chelsea","Massachusetts","Small","Bike",136,0.8,0.6,"MA","Northeast","city",-71.0328284,42.3917638
"222","Chester","Pennsylvania","Small","Bike",104,0.9,0.8,"PA","Northeast","city",-75.3557457,39.849557
"223","Chesterfield","Missouri","Small","Bike",14,0.1,0.1,"MO","North Central","city",-90.5770675,38.6631083
"224","Cheyenne","Wyoming","Small","Bike",207,0.7,0.3,"WY","West","city",-104.8202462,41.1399814
"225","Chicago Heights","Illinois","Small","Bike",99,0.9,0.8,"IL","North Central","city",-87.6355995,41.506146
"226","Chico","California","Small","Bike",2239,5.8,1,"CA","West","city",-121.8374777,39.7284944
"227","Chicopee","Massachusetts","Small","Bike",129,0.5,0.6,"MA","Northeast","city",-72.6078672,42.1487043
"228","Chillicothe","Ohio","Small","Bike",14,0.2,0.2,"OH","North Central","city",-82.9824019,39.3331197
"229","Chino","California","Small","Bike",97,0.3,0.2,"CA","West","city",-117.688944,34.0122346
"230","Chino Hills","California","Small","Bike",206,0.6,0.7,"CA","West","city",-117.7325848,33.9898188
"231","Christiansburg","Virginia","Small","Bike",0,0,0.3,"VA","South","town",-80.4089389,37.1298517
"232","Cicero","Illinois","Small","Bike",312,0.9,0.5,"IL","North Central","town",-87.7539448,41.8455877
"233","Citrus Heights","California","Small","Bike",137,0.4,0.2,"CA","West","city",-121.2810611,38.7071247
"234","Claremont","California","Small","Bike",296,2,0.7,"CA","West","city",-117.7197785,34.0966764
"235","Clarksville","Indiana","Small","Bike",27,0.3,0.3,"IN","North Central","town",-85.759963,38.2967362
"236","Clearfield","Utah","Small","Bike",39,0.3,0.3,"UT","West","city",-112.0260538,41.1107771
"237","Cleburne","Texas","Small","Bike",0,0,0.3,"TX","South","city",-97.3866837,32.3476438
"238","Clermont","Florida","Small","Bike",18,0.2,0.2,"FL","South","city",-81.7728543,28.5494447
"239","Cleveland","Tennessee","Small","Bike",51,0.3,0.3,"TN","South","city",-84.8766115,35.1595182
"240","Cleveland Heights","Ohio","Small","Bike",197,0.9,0.3,"OH","North Central","city",-81.556235,41.5200518
"241","Cliffside Park","New Jersey","Small","Bike",39,0.3,0.3,"NJ","Northeast","borough",-73.9876388,40.8214894
"242","Clifton","New Jersey","Small","Bike",59,0.1,0.2,"NJ","Northeast","city",-74.1637553,40.8584328
"243","Clinton","Iowa","Small","Bike",58,0.5,0.4,"IA","North Central","city",-90.1887379,41.8444735
"244","Clinton","Mississippi","Small","Bike",0,0,0.3,"MS","South","city",-90.3217585,32.3415342
"245","Clinton","Utah","Small","Bike",13,0.1,0.2,"UT","West","city",-112.0504983,41.139666
"246","Clovis","California","Small","Bike",156,0.4,0.2,"CA","West","city",-119.7029194,36.8252277
"247","Clovis","New Mexico","Small","Bike",58,0.4,0.3,"NM","West","city",-103.2052272,34.4047987
"248","Coachella","California","Small","Bike",15,0.1,0.2,"CA","West","city",-116.173894,33.6803003
"249","Coconut Creek","Florida","Small","Bike",110,0.4,0.3,"FL","South","city",-80.1789351,26.2517482
"250","Coeur d'Alene","Idaho","Small","Bike",191,0.9,0.5,"ID","West","city",-116.7812225,47.6734632
"251","College Park","Maryland","Small","Bike",433,3.3,1.2,"MD","South","city",-76.93776,38.9896967
"252","College Station","Texas","Small","Bike",1126,2.6,0.5,"TX","South","city",-96.3344068,30.627977
"253","Colleyville","Texas","Small","Bike",25,0.2,0.3,"TX","South","city",-97.155012,32.8809603
"254","Collierville","Tennessee","Small","Bike",5,0,0.1,"TN","South","town",-89.6645266,35.042036
"255","Collinsville","Illinois","Small","Bike",31,0.3,0.3,"IL","North Central","city",-89.9845476,38.6703266
"256","Colton","California","Small","Bike",133,0.6,0.6,"CA","West","city",-117.3136547,34.0739016
"257","Columbia","Tennessee","Small","Bike",54,0.4,0.5,"TN","South","city",-87.0352831,35.6150716
"258","Columbus","Indiana","Small","Bike",99,0.5,0.2,"IN","North Central","city",-85.9213796,39.2014404
"259","Columbus","Mississippi","Small","Bike",5,0.1,0.1,"MS","South","city",-88.4272627,33.4956744
"260","Columbus","Nebraska","Small","Bike",52,0.5,0.5,"NE","North Central","city",-97.3593904,41.4302973
"261","Commerce City","Colorado","Small","Bike",10,0,0.1,"CO","West","city",-104.9338675,39.8083196
"262","Compton","California","Small","Bike",154,0.5,0.2,"CA","West","city",-118.2200712,33.8958492
"263","Concord","New Hampshire","Small","Bike",93,0.4,0.3,"NH","Northeast","city",-71.5375718,43.2081366
"264","Concord","North Carolina","Small","Bike",34,0.1,0.1,"NC","South","city",-80.579511,35.4087517
"265","Conroe","Texas","Small","Bike",126,0.5,0.5,"TX","South","city",-95.4560512,30.3118769
"266","Conway","Arkansas","Small","Bike",104,0.4,0.2,"AR","South","city",-92.4421011,35.0886963
"267","Cookeville","Tennessee","Small","Bike",34,0.3,0.3,"TN","South","city",-85.5016423,36.162839
