"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","type","lon","lat"
"1","Aberdeen","South Dakota","Small","Bike",110,0.8,0.5,"SD","North Central","city",-98.4864829,45.4646985
"2","Acworth","Georgia","Small","Bike",0,0,0.4,"GA","South","city",-84.6768796,34.0659329
"3","Addison","Illinois","Small","Bike",43,0.2,0.3,"IL","North Central","village",-87.9889556,41.931696
"4","Adelanto","California","Small","Bike",0,0,0.5,"CA","West","city",-117.409215,34.5827699
"5","Adrian","Michigan","Small","Bike",121,1.5,1,"MI","North Central","city",-84.0371659,41.8975471
"6","Agawam Town","Massachusetts","Small","Bike",0,0,0.2,"MA","Northeast","city",-72.6148117,42.0695391
"7","Agoura Hills","California","Small","Bike",84,0.8,1.1,"CA","West","city",-118.7616764,34.1533395
"8","Aiken","South Carolina","Small","Bike",23,0.2,0.3,"SC","South","city",-81.7195533,33.5604168
"9","Alabaster","Alabama","Small","Bike",0,0,0.2,"AL","South","city",-86.8163773,33.2442813
"10","Alameda","California","Small","Bike",576,1.5,0.4,"CA","West","city",-122.2821855,37.7798721
"11","Alamogordo","New Mexico","Small","Bike",35,0.3,0.2,"NM","West","city",-105.960265,32.8995325
"12","Albany","Georgia","Small","Bike",77,0.3,0.2,"GA","South","city",-84.155741,31.5785074
"13","Albany","New York","Small","Bike",419,0.9,0.3,"NY","Northeast","city",-73.7562317,42.6525793
"14","Albany","Oregon","Small","Bike",281,1.3,0.6,"OR","West","city",-123.1059282,44.6365107
"15","Albertville","Alabama","Small","Bike",2,0,0.1,"AL","South","city",-86.2088669,34.2675937
"16","Alexandria","Louisiana","Small","Bike",100,0.5,0.3,"LA","South","city",-92.4451371,31.3112936
"17","Algonquin","Illinois","Small","Bike",109,0.7,0.6,"IL","North Central","village",-88.2942493,42.1655801
"18","Alhambra","California","Small","Bike",198,0.5,0.2,"CA","West","city",-118.1270146,34.095287
"19","Aliso Viejo","California","Small","Bike",85,0.3,0.2,"CA","West","city",-117.7262981,33.5684605
"20","Allen","Texas","Small","Bike",21,0,0.1,"TX","South","city",-96.6705503,33.1031744
"21","Allen Park","Michigan","Small","Bike",55,0.5,0.4,"MI","North Central","city",-83.2110375,42.2575385
"22","Alliance","Ohio","Small","Bike",19,0.2,0.2,"OH","North Central","city",-81.1059309,40.9153362
"23","Alpharetta","Georgia","Small","Bike",0,0,0.1,"GA","South","city",-84.2940899,34.0753762
"24","Altamonte Springs","Florida","Small","Bike",282,1.3,0.7,"FL","South","city",-81.3656242,28.6611089
"25","Alton","Illinois","Small","Bike",10,0.1,0.1,"IL","North Central","city",-90.1842764,38.8906038
"26","Altoona","Pennsylvania","Small","Bike",33,0.2,0.2,"PA","Northeast","city",-78.3947359,40.5186809
"27","Alvin","Texas","Small","Bike",127,1.2,0.7,"TX","South","city",-95.2441009,29.4238472
"28","American Fork","Utah","Small","Bike",32,0.3,0.3,"UT","West","city",-111.7957645,40.3768954
